hashtags,counts,Relevant-Annotator#1,Relevant-Annotator#2
getafreepowurquote,14,n,n
investment,14,n,n
dataviz,14,n,n
finance,14,n,n
isesisee2018,14,n,n
hurricanekatrina,13,y,y
fossilfuel,13,y,y
bcwildfire,13,y,y
ocean,13,y,y
forests,13,y,y
deforestation,13,y,y
environmentalscience,13,n,y
cleantech,13,n,y
climatejobsjustice,13,n,y
pakistan,13,n,n
gautengmam2018,13,n,n
exxonknew,13,n,n
qldpol,13,n,n
thursdaythoughts,13,n,n
ecosystem,12,y,y
climateactionke,12,y,y
heatwave,12,y,y
keralafloods,12,y,y
forest,12,y,y
gogreen,12,y,y
sustainabledevelopment,12,n,y
steamdrills,12,y,n
itstimetochange,12,y,n
beattheheat,12,y,n
freedomtobreathe,12,y,n
redtide,12,y,n
keepitintheground,12,n,n
resistance,12,n,n
ghg,12,n,n
retweet,12,n,n
publichealth,12,n,n
future,12,n,n
cif10,12,n,n
wemeanit,12,n,n
iocongress2018,12,n,n
equitycrowdfunding,12,n,n
mondaymotivation,12,n,n
wildlife,11,y,y
waterislife,11,y,y
climatedeniers,11,y,y
worldwaterweek,11,y,y
wind,11,y,y
weather,11,y,y
plasticpollution,11,y,y
cities4climate,11,y,y
hurricaneharvey,11,y,n
caf18,11,n,n
smoke,11,n,n
migration,11,n,n
electricvehicles,11,n,n
cities,11,n,n
gender,11,n,n
evolution,11,n,n
egm,11,n,n
finestedumininmoscow,11,n,n
global,11,n,n
greenland,11,n,n
greenjobs,10,y,y
rainforest,10,y,y
airquality,10,y,y
renewablesnw,10,y,y
renewable,10,n,y
gw,10,n,n
kerala,10,n,n
insurance,10,n,n
ancientaliens,10,n,n
leadership,10,n,n
putapriceonit,10,n,n
ipcc,10,n,n
fusion,10,n,n
coffee,10,n,n
wwweek2018,10,n,n
podcast,10,n,n
humanrights,10,n,n
climategate,9,y,y
zerowaste,9,y,y
miniiceage,9,y,y
climatechangeshealth,9,y,y
hurricanelane,9,y,y
trees,9,y,y
plasticfree,9,n,y
icymi,9,n,n
extinction,9,n,n
farming,9,n,n
russia,9,n,n
lnp,9,n,n
tourism,9,n,n
nyc,9,n,n
farmers,9,n,n
costarica,9,n,n
sciencematters,9,n,n
oil,9,n,n
solutions,9,n,n
losangeles,9,n,n
cop24,9,n,n
scumo,9,n,n
geoengineering,8,y,y
stepupclimateaction,8,y,y
savetheplanet,8,y,y
foodwaste,8,y,y
glaciers,8,y,y
climatechangeart,8,y,y
emissions,8,y,y
climateweeklac,8,y,y
eco,8,y,y
fossilfree,8,y,y
globalweirding,8,y,y
weraquaculture,8,y,y
greenhousegas,8,n,y
plastic,8,n,y
grandsolarminimum,8,n,y
seaice,8,n,y
lowcarbon,8,y,n
gop,8,n,n
kenya,8,n,n
capitalism,8,n,n
turnbull,8,n,n
coderood,8,n,n
singapore,8,n,n
re100,8,n,n
bekp,8,n,n
world,8,n,n
agw,8,n,n
riskmanagement,8,n,n
wales,8,n,n
design,8,n,n
propaganda,8,n,n
uranium,8,n,n
thorium,8,n,n
stem,8,n,n
eu,8,n,n
electricity,8,n,n
ev,8,n,n
ontario,8,n,n
bipartisan,8,n,n
diversityinscience,8,n,n
pacific,8,n,n
econmy,8,n,n
flatearth,8,n,n
breaking,8,n,n
roundearth,8,n,n
katrina13,8,n,n
nswpol,8,n,n
ai,8,n,n
aqua2018,8,n,n
technlogy,8,n,n
naturalclimatesolutions,7,y,y
oilandgas,7,y,y
chemtrails,7,y,y
beyondcoal,7,y,y
climaterisk,7,y,y
permafrost,7,y,y
forests4climate,7,y,y
ecofriendly,7,y,y
climateweeknyc,7,y,y
climatevoter,7,n,y
sustanability,7,n,y
carbonfootprint,7,n,y
investors,7,n,n
scientifictruth,7,n,n
scientifictheory,7,n,n
vote,7,n,n
5actions,7,n,n
scientificconcensus,7,n,n
nutrition,7,n,n
development,7,n,n
covergreensports,7,n,n
nwlchallenge,7,n,n
ipcc30,7,n,n
hoax,7,n,n
stopkm,7,n,n
shipping,7,n,n
talanadialogue,7,n,n
bethechange,7,n,n
didyouknw,7,n,n
youth,7,n,n
money,7,n,n
republicans,7,n,n
spnhctdwgnz,7,n,n
drawdown,7,n,n
delhi,7,n,n
southasia,7,n,n
germany,7,n,n
ice,7,n,n
globalclimateactionsummit,6,y,y
pesticides,6,y,y
solarenergy,6,y,y
cleanair,6,y,y
smartcities,6,n,y
familyplanning,6,n,y
