hashtags,counts,Relevant-Annotator#1,Relevant-Annotator#2
cyberattacks,469,y,y
digitalartist,465,n,n
insurance,465,n,n
originalcharacter,463,n,n
altcoins,461,y,y
sportsbook,460,n,n
technicalanalysis,460,y,y
actonclimatechange,459,n,n
leadership,458,n,n
cryptonews,457,y,y
health,444,n,n
industry40,442,y,y
gaming,439,y,y
africa,435,n,n
edchat,432,n,n
malware,431,y,y
webinar,428,n,n
rpa,425,y,n
techforgood,425,y,y
vr,420,y,y
future,419,n,n
climatestrike,418,n,n
payments,417,n,n
btcusd,417,n,n
binance,411,n,n
myart,411,n,n
podcast,409,n,n
job,409,n,n
smm,407,n,n
cloudcomputing,406,y,y
rt,405,n,n
gadgets,404,n,n
dataprotection,403,y,y
facebook,390,n,n
litecoin,390,n,n
technlogies,389,y,y
fortnitechapter2,388,n,n
cx,388,n,n
smarthome,387,y,y
research,384,n,n
software,382,y,y
regtech,379,n,n
furry,378,n,n
womeninstem,376,n,n
apple,376,n,y
manufacturing,374,n,n
entrepreneur,373,n,n
delhiriots2020,372,n,n
techn,370,y,y
engineering,370,n,y
martech,365,n,n
android,364,y,y
environment,362,n,n
codmobile,361,y,y
ransomware,359,y,y
trumpisanidiot,358,n,n
hr,357,n,n
infographic,356,n,n
agtech,353,y,y
sketch,351,n,n
fortnite,351,n,n
airdrop,347,y,y
ar,347,y,n
retail,347,n,n
internetofthings,344,y,y
ces2020,340,n,n
jobs,336,n,n
linux,334,y,y
fashion,333,n,n
patriot,332,n,n
gamedev,331,y,y
smartcontracts,329,y,y
onlinemarketing,329,y,y
india,328,n,n
cyberaware,327,y,y
microsoft,327,n,y
dlt,327,n,n
digitalartwork,325,n,n
cyberattack,320,y,y
databreach,320,y,y
supplychain,320,n,n
pubgmobile,319,y,y
python,318,y,y
technlogynews,318,n,y
bitcoinnews,318,y,y
ico,317,y,n
edgecomputing,317,y,y
blackfriday,316,n,n
techtips,315,y,y
techjunkienews,312,y,y
dataprivacy,310,n,y
energy,310,n,n
emergingtech,309,y,y
altcoin,309,y,y
marketingautomation,308,y,y
cio,308,n,n
mobilebnk48,307,n,n
proptech,307,n,y
digitalskills,306,y,y
sales,305,n,n
hongkongprotests,305,n,n
furryart,305,n,n
huawei,304,n,y
characterdesign,300,n,n
iphone,300,n,y
design,299,n,n
tron,296,n,n
bitcoincash,295,y,y
chartmill,295,n,n
hacking,294,y,y
telecom,293,y,y
commission,292,n,n
vivatech,290,n,n
lightningnetwork,288,y,y
phishing,286,y,y
globalwarming,283,n,n
mrlovemobile,283,n,n
travel,283,n,n
customerexperience,282,n,n
advertising,279,n,n
100daysofcode,278,y,n
ad,277,n,n
devops,276,n,y
coding,275,y,y
dataanalytics,274,y,y
cop25,273,n,n
app,272,n,n
sdgs,272,n,n
techjobs,272,n,n
anime,271,n,n
antibioticresistance,270,n,n
becybersmart,270,n,n
mondaymotivation,269,n,n
4ir,268,n,n
artist,267,n,n
mobileapp,267,y,y
womenwhocode,266,n,y
digitalindianewindia,265,n,y
climate,263,n,n
agriculture,262,n,n
ciso,262,n,y
antibiotics,262,n,n
elearning,262,n,y
forex,259,n,n
diversity,258,n,n
tesla,257,n,y
london,257,n,n
cyberpinyradio,257,n,n
supportopm,257,n,n
pinymusic,257,n,n
patriotsunited,253,n,n
commissionsopen,253,n,n
digibyte,252,n,n
robot,251,n,y
smallbiz,250,n,n
artwork,249,n,n
digitaldrawing,249,y,y
fridaysforfuture,248,n,n
mobilefun,248,n,n
adjunctprofessr,246,n,n
docomo,246,n,n
techtuesday,244,n,n
digitaleconmy,244,y,y
smallbusiness,244,n,n
tmobile,242,n,n
auspol,241,n,n
money,240,n,n
physiotherapy,238,n,n
internet,234,y,y
bitcoinsv,234,y,y
pokemon,234,n,n
digitalstrike,230,n,y
bsv,228,n,n
ppc,227,n,n
govtech,225,y,y
trends,225,n,n
development,224,n,n
mobilegame,222,y,y
realestate,222,n,n
digitalization,221,y,y
hiring,221,n,n
trump2020,220,n,n
learning,220,n,n
covididiots,218,n,n
informationsecurity,217,y,y
mobilesecurity,217,y,y
